comparison,cohort,source_st,target_st,seed,n_genes,sc_spearman,aligned_spearman,delta_spearman,sc_mae,aligned_mae,delta_mae,top32_sc,top32_aligned,delta_top32,top64_sc,top64_aligned,delta_top64,top128_sc,top128_aligned,delta_top128,top64_gained,top64_lost
AD-HC / X5704,AD,X4870NOHC,X5704ADHC,0,293,0.31068038978647244,0.41582789551371535,0.10514750572724291,79.22866894197952,72.51877133105802,-6.709897610921502,6,13,7,16,24,8,71,72,1,16,8
AD-HC / X5704,AD,X4870NOHC,X5704ADHC,1,293,0.25678037824134287,0.38564883150885304,0.12886845326751017,82.18430034129693,73.419795221843,-8.76450511945393,7,13,6,18,23,5,70,74,4,16,11
AD-HC / X5704,AD,X4870NOHC,X5704ADHC,2,293,0.2920020876647447,0.43158127246410277,0.13957918479935805,79.70648464163823,70.74402730375427,-8.962457337883961,9,17,8,22,27,5,71,75,4,15,10
AD-HC / X5704,AD,X4870NOHC,X5704ADHC,3,293,0.276630367888892,0.3363625781323797,0.05973221024348768,81.99317406143345,77.20136518771331,-4.791808873720143,9,15,6,20,24,4,68,67,-1,15,11
AD-HC / X5704,AD,X4870NOHC,X5704ADHC,4,293,0.25800168119985384,0.36778775281209786,0.10978607161224402,80.88054607508532,73.57679180887372,-7.303754266211598,8,15,7,23,26,3,65,68,3,14,11
AD-HC / X5789,AD,X4870NOHC,X5789ADHC,0,293,0.30410252838336704,0.3619183425392225,0.05781581415585546,80.22525597269625,76.1160409556314,-4.109215017064841,7,14,7,19,26,7,71,68,-3,16,9
AD-HC / X5789,AD,X4870NOHC,X5789ADHC,1,293,0.2907736286342112,0.39298380533194155,0.10221017669773036,82.32081911262799,73.42662116040955,-8.894197952218434,7,11,4,17,24,7,66,72,6,16,9
AD-HC / X5789,AD,X4870NOHC,X5789ADHC,2,293,0.27292972451031,0.3520453485054783,0.0791156239951683,81.69283276450511,76.28668941979522,-5.406143344709889,8,14,6,19,23,4,63,64,1,13,9
AD-HC / X5789,AD,X4870NOHC,X5789ADHC,3,293,0.2747511833757768,0.33399201000705114,0.059240826631274335,84.02047781569966,79.4334470989761,-4.587030716723561,8,14,6,21,26,5,65,65,0,18,13
AD-HC / X5789,AD,X4870NOHC,X5789ADHC,4,293,0.31727065504775015,0.4304525213704165,0.11318186632266636,79.07849829351535,70.76450511945393,-8.313993174061423,10,13,3,16,26,10,65,69,4,18,8
AD-FC / X5665,AD,X4996NOFC,X5665ADFC,0,293,0.2433536788412125,0.3283993011857135,0.08504562234450097,83.87713310580205,76.81911262798634,-7.0580204778157025,5,16,11,18,24,6,70,69,-1,16,10
AD-FC / X5665,AD,X4996NOFC,X5665ADFC,1,293,0.182891072179959,0.3015544896718798,0.1186634174919208,88.39590443686006,80.06825938566553,-8.327645051194537,5,14,9,17,24,7,63,70,7,17,10
AD-FC / X5665,AD,X4996NOFC,X5665ADFC,2,293,0.2132743227731974,0.35594683897215906,0.14267251619896165,86.19795221843003,75.42662116040955,-10.771331058020479,6,14,8,18,25,7,64,71,7,17,10
AD-FC / X5665,AD,X4996NOFC,X5665ADFC,3,293,0.2078958190410673,0.36162112701455357,0.15372530797348627,86.04778156996586,74.67576791808874,-11.372013651877126,5,14,9,20,26,6,63,73,10,16,10
AD-FC / X5665,AD,X4996NOFC,X5665ADFC,4,293,0.21731273275124252,0.3747811434639778,0.15746841071273526,85.02389078498294,74.98293515358361,-10.040955631399328,7,14,7,17,22,5,64,73,9,17,12
PD-FC / X5215,PD,X4996NOFC,X5215PDFC,0,293,0.1656988476815758,0.36905199220274393,0.20335314452116812,89.62457337883959,74.23890784982935,-15.38566552901024,6,15,9,13,24,11,64,72,8,19,8
PD-FC / X5215,PD,X4996NOFC,X5215PDFC,1,293,0.24824270724700187,0.40723345301466235,0.15899074576766048,82.9419795221843,74.50511945392492,-8.436860068259378,6,11,5,16,26,10,67,73,6,20,10
PD-FC / X5215,PD,X4996NOFC,X5215PDFC,2,293,0.19237286760980515,0.389983979940099,0.19761111233029383,87.46075085324232,74.17747440273038,-13.283276450511934,6,13,7,16,26,10,61,72,11,18,8
PD-FC / X5215,PD,X4996NOFC,X5215PDFC,3,293,0.21319369769507696,0.3804587710066495,0.16726507331157253,86.90784982935153,74.64846416382252,-12.25938566552901,7,11,4,16,25,9,61,68,7,18,9
PD-FC / X5215,PD,X4996NOFC,X5215PDFC,4,293,0.16617735036414868,0.35504708218319353,0.18886973181904484,89.93856655290102,77.13993174061433,-12.798634812286693,6,12,6,18,27,9,63,70,7,19,10
