training_seed	panel_size	panel	metric	value	n_shared_genes	n_test_cells
1	32	source_smith	cell_type_accuracy	0.652527375290344	32	18082
1	32	source_smith	cell_type_balanced_accuracy	0.6539697617350061	32	18082
1	32	source_smith	cell_type_macro_f1	0.6087430182835434	32	18082
1	32	source_smith	cell_type_weighted_f1	0.6609038030168829	32	18082
1	32	multi_visium_smith	cell_type_accuracy	0.7073332595951776	32	18082
1	32	multi_visium_smith	cell_type_balanced_accuracy	0.771732029911094	32	18082
1	32	multi_visium_smith	cell_type_macro_f1	0.7173622441351021	32	18082
1	32	multi_visium_smith	cell_type_weighted_f1	0.7131922881888962	32	18082
1	64	source_smith	cell_type_accuracy	0.7370313018471408	64	18082
1	64	source_smith	cell_type_balanced_accuracy	0.7533472606176257	64	18082
1	64	source_smith	cell_type_macro_f1	0.7012995604717278	64	18082
1	64	source_smith	cell_type_weighted_f1	0.7419219635949553	64	18082
1	64	multi_visium_smith	cell_type_accuracy	0.8104745050326292	64	18082
1	64	multi_visium_smith	cell_type_balanced_accuracy	0.8571370745432892	64	18082
1	64	multi_visium_smith	cell_type_macro_f1	0.8118064574022903	64	18082
1	64	multi_visium_smith	cell_type_weighted_f1	0.8140302130291647	64	18082
1	128	source_smith	cell_type_accuracy	0.8510673598053312	128	18082
1	128	source_smith	cell_type_balanced_accuracy	0.863680740760266	128	18082
1	128	source_smith	cell_type_macro_f1	0.8284402528268348	128	18082
1	128	source_smith	cell_type_weighted_f1	0.8530287881581291	128	18082
1	128	multi_visium_smith	cell_type_accuracy	0.8815396526932862	128	18082
1	128	multi_visium_smith	cell_type_balanced_accuracy	0.8993158338131365	128	18082
1	128	multi_visium_smith	cell_type_macro_f1	0.8633165833457249	128	18082
1	128	multi_visium_smith	cell_type_weighted_f1	0.8836037122636267	128	18082
2	32	source_smith	cell_type_accuracy	0.67658444862294	32	18082
2	32	source_smith	cell_type_balanced_accuracy	0.692185821926592	32	18082
2	32	source_smith	cell_type_macro_f1	0.6321492260574257	32	18082
2	32	source_smith	cell_type_weighted_f1	0.686076896932873	32	18082
2	32	multi_visium_smith	cell_type_accuracy	0.6574493971905763	32	18082
2	32	multi_visium_smith	cell_type_balanced_accuracy	0.6864083464109224	32	18082
2	32	multi_visium_smith	cell_type_macro_f1	0.6266832227957471	32	18082
2	32	multi_visium_smith	cell_type_weighted_f1	0.6658448703854778	32	18082
2	64	source_smith	cell_type_accuracy	0.7371419090808539	64	18082
2	64	source_smith	cell_type_balanced_accuracy	0.7468609494504002	64	18082
2	64	source_smith	cell_type_macro_f1	0.6977630453396821	64	18082
2	64	source_smith	cell_type_weighted_f1	0.7434707922865686	64	18082
2	64	multi_visium_smith	cell_type_accuracy	0.7798363012941046	64	18082
2	64	multi_visium_smith	cell_type_balanced_accuracy	0.8189980563190735	64	18082
